,ae,exp,mp
SnS,0.29247272727272744,1.1972727272727273,0.9047999999999998
In5AgTe8,0.2912000000000002,0.47,0.1787999999999998
CsAsSe2,0.29059999999999997,1.93,1.6394
KSb,0.29049999999999987,0.9,0.6095000000000002
LaMg2H7Pd,0.2895000000000003,1.0,0.7104999999999997
SnTe,0.2881,0.33,0.0419
VO2,0.2861333333333333,0.4983333333333333,0.2122
AsRuS,0.2854,1.2,0.9146
TlAsSe2,0.28489999999999993,1.375,1.0901
GeSe,0.2845333333333331,1.1833333333333331,0.8988
CsPSe6,0.2832999999999999,1.9,1.6167
V2Zn3TeO10,0.28039999999999976,2.96,2.6796
LaGaS3,0.2779999999999996,2.5,2.2220000000000004
KPSe6,0.2772000000000001,2.16,1.8828
Ba2ErGaSe5,0.27690000000000015,1.95,1.6730999999999998
YMoO4F,0.27649999999999997,3.78,3.5035
BiSeI,0.2764000000000004,1.3,1.5764000000000005
SbPb2S2I3,0.2762000000000002,2.0,1.7237999999999998
P2Os,0.27470000000000017,1.165,0.8902999999999999
SiGe,0.27400000000000013,0.88,0.6059999999999999
BiSI,0.2735666666666665,1.5933333333333335,1.8669
Na2Te,0.2717999999999998,2.3,2.0282
CsLu7Se11,0.2695000000000005,1.78,1.5104999999999995
InSb2S4Br,0.2691999999999999,1.8,1.5308000000000002
TlInHgS3,0.26660000000000017,1.74,1.4733999999999998
KBaSbSe3,0.26639999999999997,2.04,1.7736
Te2Mo,0.26336666666666697,1.1266666666666667,0.8632999999999997
Ta2Tl4S11,0.2632999999999994,1.26,1.5232999999999994
K3Ta2AsSe11,0.26219999999999977,1.45,1.1878000000000002
Ho2HfS5,0.26060000000000016,1.0,1.2606000000000002
SiP,0.26049999999999995,2.0,1.7395
Tb(CuTe)3,0.25989999999999996,0.46,0.7199
Ba2Cd(BO2)6,0.25839999999999996,4.59,4.3316
PSe,0.2578999999999998,2.5,2.2421
Rb3Na(MoO4)2,0.25729999999999986,4.84,4.5827
CdSb2Se3Br2,0.2570999999999999,1.4,1.1429
AgP15,0.2567999999999995,1.47,1.2132000000000005
FePS,0.25540000000000074,0.25,0.5054000000000007
Ba8Sn4S15,0.25459999999999994,2.31,2.0554
Rb2Cd3(B4O7)4,0.2519,4.76,4.5081
BAs,0.2513000000000005,1.455,1.2036999999999995
Tm(CuTe)3,0.2503000000000007,0.14,0.3903000000000007
InSb2S4Cl,0.24750000000000028,1.8,1.5524999999999998
Bi4Pb7Se13,0.24690000000000017,0.29,0.5369000000000002
As2Os,0.24530000000000018,0.91,0.6646999999999998
Bi2Te2Se,0.24419999999999958,0.3,0.5441999999999996
Rb2BaNb2Se11,0.24219999999999997,1.53,1.2878
K2Te,0.2410000000000001,1.9,2.141
InSb2Se4Br,0.23969999999999958,1.35,1.1103000000000005
CsYZnSe3,0.23830000000000018,2.35,2.1117
CdBiClO2,0.2373000000000003,3.08,2.8427
CsK2Sb,0.23660000000000037,1.1,0.8633999999999997
Na3MoO4F,0.2344999999999997,4.77,4.5355
La2Se3,0.23433333333333373,1.7733333333333334,1.5389999999999997
In2Bi3Se7I,0.23130000000000006,1.38,1.1486999999999998
Sm4GaSbS9,0.22940000000000005,2.23,2.0006
AsP,0.2281999999999997,0.23,0.4581999999999997
BaNaB5O9,0.2275999999999998,4.78,5.0076
Nb2Tl3CuSe12,0.22679999999999967,0.8,0.5732000000000004
Bi2I4O13,0.22629999999999972,3.3,3.0737
Tl2BiP2S7,0.22489999999999966,1.8,2.0248999999999997
Ba2TaInO6,0.22410000000000085,4.17,3.945899999999999
BiBr3,0.22330000000000005,2.66,2.8833
Rb2TeI6,0.22250000000000014,1.4,1.6225
PtS,0.2218666666666665,0.6066666666666667,0.3848000000000002
Rb3Bi2I9,0.2214999999999998,1.995,2.2165
K2S,0.22009999999999996,2.1,2.3201
FeSi2,0.21939999999999993,0.916,0.6966000000000001
SrBiClO2,0.21850000000000014,3.52,3.3015
NaSb,0.21589999999999965,0.82,0.6041000000000003
ScSbPd,0.2144999999999998,0.23,0.0155000000000002
KBi3S5,0.2127000000000001,1.21,1.4227
Ge2Sb2Te5,0.2121000000000004,0.5,0.2878999999999996
In2Se3,0.20980000000000032,1.2,0.9901999999999996
Cs2Cd3(B4O7)4,0.20749999999999957,4.76,4.5525
Mg3P2,0.20679999999999987,1.4,1.6067999999999998
Hg3Bi2(TeCl4)2,0.20560000000000045,2.8,3.0056000000000003
YSbPd,0.20440000000000008,0.27,0.4744000000000001
SbI3,0.20339999999999936,2.348,2.1446000000000005
Ga2PbSe4,0.2012999999999998,1.83,2.0313
Tl2TeI6,0.19939999999999958,1.485,1.6843999999999997
MnP4,0.19860000000000005,0.28,0.4786000000000001
Rb3Bi2Br9,0.19799999999999995,2.62,2.818
AsI3,0.1958333333333333,2.4333333333333336,2.2375000000000003
KSiBiS4,0.19510000000000005,2.25,2.0549
CoAsSe,0.19470000000000026,0.2,0.3947000000000003
NaSb(PS3)2,0.19170000000000043,2.21,2.0182999999999995
KTeP2,0.19069999999999943,1.4,1.2093000000000005
NaSbTe2,0.18889999999999918,0.47,0.6588999999999992
V3Bi(PbO4)3,0.1886000000000001,2.5,2.6886
TcS2,0.18850000000000033,1.0,1.1885000000000003
Ba5(Ga2Se5)2,0.1863999999999999,2.2,2.0136000000000003
As2Ir,0.1844999999999999,1.0,0.8155000000000001
TaTlS3,0.18420000000000036,0.78,0.5957999999999997
PbSe,0.1840333333333333,0.2416666666666666,0.4256999999999999
Zn3(BO3)2,0.18330000000000002,2.6,2.7833
Ba3Bi2TeO9,0.18120000000000003,2.3,2.1188
In6Se7,0.1791999999999993,0.64,0.4608000000000007
Rb2Cd(IBr)2,0.17899999999999983,3.35,3.1710000000000003
ReS2,0.1768666666666674,1.143333333333333,1.3202000000000005
ScTlSe2,0.17539999999999978,0.79,0.6146000000000003
Ba3V2(SeO4)4,0.17349999999999977,2.87,2.6965000000000003
CsLu7S11,0.1717999999999995,1.86,2.0317999999999996
La2MoO5,0.16959999999999986,0.745,0.5754000000000001
SrCrO4,0.16860000000000008,2.45,2.6186000000000003
Sm2Te3,0.16659999999999964,0.7,0.5334000000000003
SiSn,0.16080000000000017,0.59,0.4291999999999998
CsBiS2,0.16063333333333318,1.4166666666666667,1.5773
PbCl2,0.15943333333333376,3.953333333333333,3.7938999999999994
ScNiSb,0.15790000000000004,0.11,0.2679
K2In3AgSe6,0.1570999999999998,1.64,1.4829
KBiSe2,0.1530999999999999,0.66,0.8130999999999999
FeAsSe,0.1514000000000001,0.6,0.4485999999999999
La2Mn(SeO)2,0.1513000000000002,1.6,1.7513000000000003
La4InSbS9,0.14959999999999996,2.07,2.2196
CsSb,0.14920000000000044,0.7050000000000001,0.5557999999999996
Th2Se5,0.14620000000000044,0.37,0.5162000000000004
Tl3VS4,0.14539999999999997,1.81,1.9554
Ba3In2(PO4)4,0.14460000000000006,3.87,3.7254
Bi7O5F11,0.1431,4.05,3.9069
K2Zn(SnSe3)2,0.14159999999999973,1.71,1.5684000000000002
Dy2Te3,0.1412,0.69,0.5488
TlGaSe2,0.13889999999999958,1.65,1.5111000000000003
Rb4Mo5(PO11)2,0.1387999999999998,3.51,3.3712
RbNb4Br11,0.13669999999999993,0.46,0.3233000000000001
EuIn2(GeIr)4,0.1328999999999996,0.26,0.1271000000000004
BiSBr,0.13200000000000012,1.9,2.032
Er(CuTe)3,0.1283999999999994,0.24,0.3683999999999994
Nb2Pb2Se4O15,0.12790000000000035,2.79,2.6620999999999997
SbTeRu,0.12739999999999974,0.5,0.6273999999999997
InBi2S4Br,0.12700000000000022,1.5,1.6270000000000002
TlInTe2,0.12656666666666683,0.6666666666666666,0.5400999999999998
Sb2Te3,0.12431428571428563,0.2557142857142857,0.1314000000000001
RbMoPO6,0.12319999999999975,2.96,2.8368
Tl2Te3,0.12289999999999957,0.516,0.6388999999999996
AgBi(PSe3)2,0.12219999999999986,1.4,1.2778
AsOsS,0.12050000000000005,1.3,1.1795
Cs2Al2B2O7,0.11900000000000066,4.13,4.2490000000000006
TiTlPS5,0.1189,1.3,1.1811
SnPbS3,0.11790000000000023,0.975,1.0929000000000002
SbRuSe,0.11709999999999943,0.9,0.7829000000000006
CsBiSe2,0.11700000000000021,1.07,0.9529999999999998
Mn11Si19,0.11629999999999918,0.74,0.8562999999999992
RbSbS2,0.11403333333333299,2.063333333333333,1.9493
Cs2TeI6,0.11230000000000007,1.5,1.3877
In2Se2O7,0.11220000000000008,2.97,2.8578
VFeSb,0.11130000000000001,0.46,0.3487
V2O5,0.1090666666666662,2.3916666666666666,2.2826000000000004
Sb2Os,0.10803333333333467,0.2366666666666666,0.3447000000000013
Ba2V2Te2O11,0.10760000000000014,3.16,3.2676000000000003
VGa(TeO4)2,0.10760000000000014,3.0,2.8924
PbS,0.10384285714285652,0.3628571428571429,0.4666999999999994
BaCdSnS4,0.10360000000000014,2.3,2.1963999999999997
Tl2GeTe3,0.1034999999999997,0.365,0.4684999999999997
Tl2TeBr6,0.10319999999999974,2.06,2.1632
Cs3Bi2Br9,0.09959999999999969,2.5,2.5995999999999997
Ba2InBiS5,0.09710000000000041,1.55,1.4528999999999996
Ca2CdAs2,0.0970000000000002,0.95,0.8529999999999998
AgPd(IO3)3,0.09609999999999941,1.5,1.4039000000000006
Sr2V3Se5O18,0.09489999999999954,2.47,2.5648999999999997
ScAg(PSe3)2,0.09409999999999985,1.55,1.6441
TiCoSb,0.09319999999999973,0.95,1.0431999999999997
InBi2S4Cl,0.09299999999999997,1.5,1.593
TaTl3S4,0.0924999999999998,2.4400000000000004,2.5325
PbI2,0.09005555555555578,2.535555555555556,2.4455
CrB2(PbO2)6,0.08979999999999988,1.8,1.8898
Tl2Hg3Te4,0.0897,0.9,0.9897
KSbS2,0.08900000000000019,1.6900000000000002,1.601
Bi2Te3,0.08879999999999999,0.25,0.3388
CoP2,0.08779999999999932,0.35,0.4377999999999993
Na4Mg(SiSe3)2,0.08679999999999977,2.85,2.7632000000000003
La3Mo4O16F,0.08640000000000025,3.7,3.6136
FeBi(SeO3)3,0.08489999999999975,2.54,2.6249
InBi2Se4Br,0.08450000000000024,1.21,1.2945000000000002
MgSiN2,0.08379999999999921,4.05,3.9662000000000006
Zn2InCuTe4,0.08340000000000036,1.05,1.1334000000000004
Mn(SbSe2)2,0.0828000000000002,0.31,0.3928000000000002
RbSbSe2,0.08250000000000002,1.62,1.5375
PrTlSe2,0.08210000000000028,1.18,1.2621000000000002
SbOsS,0.08080000000000065,1.2,1.1191999999999993
AgBiSe2,0.07840000000000041,0.34,0.2615999999999996
Ga2PbS4,0.07720000000000038,2.38,2.3027999999999995
CrPbO4,0.07559999999999967,2.25,2.1744000000000003
LiInTe2,0.07529999999999992,1.46,1.3847
Sb3IO4,0.07479999999999976,2.61,2.5352
BiPO4,0.07420000000000027,3.85,3.7758
ReSe2,0.07340000000000035,1.0699999999999998,1.1434000000000002
Ba(ZnAs)2,0.0674000000000001,0.23,0.2974000000000001
RbBiS2,0.0656666666666661,1.2733333333333334,1.3389999999999995
BaPd(IO3)4,0.06420000000000048,1.97,1.9057999999999995
AlV(TeO4)2,0.06390000000000029,2.9,2.8360999999999996
Sr2ScSbO6,0.06259999999999977,3.57,3.5074
CoSbS,0.0623999999999999,0.305,0.3673999999999999
NaInS2,0.06230000000000002,1.9,1.8377
TeO2,0.06040000000000001,3.0,3.0604
YNiSb,0.05950000000000022,0.235,0.2945000000000002
Ca2SnS4,0.059499999999999886,2.32,2.2605
Sr4V2(Se2O7)3,0.05929999999999991,2.66,2.7193
BiSCl,0.053600000000000536,1.91,1.9636000000000005
SbTeRh,0.05209999999999937,0.5,0.5520999999999994
YSbPt,0.050200000000000106,0.16,0.1097999999999999
Ge3Ru2,0.04859999999999981,0.43,0.3814000000000002
Ca2ScSbO6,0.04820000000000002,3.68,3.6318
SiAs,0.048100000000000476,1.5,1.4518999999999995
Ba2V2ZnO8,0.046399999999999775,3.48,3.4336
LiSbTe2,0.045900000000000385,0.13,0.1759000000000004
Sm4InSbS9,0.045399999999999885,2.13,2.1754
Y(CuTe)3,0.04320000000000035,0.72,0.7632000000000003
BaV2SeO8,0.041899999999999604,2.13,2.0881000000000003
Bi2S3,0.04179999999999984,1.3199999999999998,1.3617999999999997
LiCa3As2H,0.041699999999999626,1.4,1.4416999999999995
LiMgBi,0.04129999999999984,0.4,0.3587000000000002
Na2S,0.03990000000000027,2.4,2.4399
Rb2TeBr6,0.039000000000000146,2.14,2.101
VCu3S4,0.0358000000000005,1.0,1.0358000000000005
BaIn2(P2O7)2,0.034799999999999276,3.97,4.0047999999999995
Te2Ru,0.034700000000000786,0.25,0.2847000000000008
As2O3,0.03390000000000004,4.0,4.0339
In2HgSe4,0.033700000000000174,0.6,0.6337000000000002
Dy4Te3S4,0.03340000000000054,1.43,1.3965999999999994
Ca(SmS2)2,0.033399999999999874,2.05,2.0833999999999997
KAsSe2,0.029099999999999904,1.625,1.5959
Bi5IO7,0.027499999999999414,2.76,2.7325000000000004
BaCu2SnSe4,0.02700000000000019,0.48,0.4529999999999998
Ba2SmGaTe5,0.026799999999999935,1.04,1.0132
BiSeBr,0.024533333333333296,1.6666666666666667,1.6912
BiSbTe3,0.023299999999999293,0.19,0.2132999999999993
Cs3Sb2I9,0.02210000000000001,1.89,1.8679
NaSm(PS3)2,0.020300000000000207,2.54,2.5197
Si3Ru2,0.018900000000000028,0.57,0.5510999999999999
WSe2,0.018500000000000183,1.465,1.4465
Rb3Sb2I9,0.01629999999999998,1.94,1.9237
Na2Se,0.01529999999999987,2.0,2.0153
Ba2GaBiS5,0.01100000000000012,2.38,2.391
Na5Gd(MoO4)4,0.009600000000000275,3.38,3.3896
SiAs2,0.009099999999999553,0.88,0.8890999999999996
Cs2TeBr6,0.00790000000000024,2.12,2.1121
Sn3Ir2Se3,0.007599999999999718,0.43,0.4375999999999997
BaBSbS4,0.002300000000000413,2.34,2.3423000000000003
Bi2Se3,0.0019000000000000128,0.375,0.3769
TiFe2Si,0.0015999999999983805,0.4,0.4015999999999984
BiP3(PbO4)3,0.000600000000000378,3.7,3.6994
Ba2NaCu3S5,0.00040000000000006697,0.45,0.4504000000000001
PdSe2,0.00010000000000010001,0.4,0.4001000000000001
